# MO binding energies read from G09 output
# [32.779024, 1.933413, 0.851213, 0.851213, 0.851213]
# MO kinetic energies read from G09 output
# [46.26398, 5.215104, 4.254433, 4.254433, 4.254433]
# Incident electron energy [eV] | Total Sigma | Sigmas [Angstrom^2] (core electrons first)
23.0 0.0 0.0 0.0 0.0 0.0 0.0
24.0 0.0787729593069662 0.0 0.0 0.026257653102322066 0.026257653102322066 0.026257653102322066
25.0 0.1656124796989647 0.0 0.0 0.055204159899654895 0.055204159899654895 0.055204159899654895
26.0 0.24522804728638836 0.0 0.0 0.08174268242879612 0.08174268242879612 0.08174268242879612
27.0 0.31826242827615003 0.0 0.0 0.10608747609205002 0.10608747609205002 0.10608747609205002
28.0 0.3853036244214294 0.0 0.0 0.1284345414738098 0.1284345414738098 0.1284345414738098
29.0 0.44688664310814186 0.0 0.0 0.14896221436938062 0.14896221436938062 0.14896221436938062
29.999999999999996 0.5034965905977451 0.0 0.0 0.16783219686591505 0.16783219686591505 0.16783219686591505
31.000000000000004 0.5555723928456084 0.0 0.0 0.18519079761520282 0.18519079761520282 0.18519079761520282
32.0 0.6035107238220383 0.0 0.0 0.20117024127401276 0.20117024127401276 0.20117024127401276
33.0 0.647669893624211 0.0 0.0 0.21588996454140366 0.21588996454140366 0.21588996454140366
34.0 0.6883735564741269 0.0 0.0 0.22945785215804232 0.22945785215804232 0.22945785215804232
35.0 0.7259141658282868 0.0 0.0 0.24197138860942896 0.24197138860942896 0.24197138860942896
36.0 0.760556145202976 0.0 0.0 0.25351871506765866 0.25351871506765866 0.25351871506765866
37.0 0.7925387683533539 0.0 0.0 0.26417958945111797 0.26417958945111797 0.26417958945111797
38.0 0.8220787571092039 0.0 0.0 0.2740262523697346 0.2740262523697346 0.2740262523697346
39.0 0.8493726132800297 0.0 0.0 0.2831242044266766 0.2831242044266766 0.2831242044266766
40.0 0.874598705042847 0.0 0.0 0.291532901680949 0.291532901680949 0.291532901680949
