# MO binding energies read from G09 output
# [19.807874640775555, 1.183327575942436, 0.681699581792925, 0.5413172420382634, 0.4634087184047862]
# MO kinetic energies read from G09 output
# [58.413018073307505, 5.218401111298941, 3.579014677671858, 4.351117546322497, 4.516489412525632]
# Incident electron energy [eV] | Total Sigma | Sigmas [Angstrom^2] (core electrons first)
12.0 0.0 0.0 0.0 0.0 0.0 0.0
13.0 0.011063065515594415 0.0 0.0 0.0 0.0 0.011063065515594415
14.0 0.04118543871656133 0.0 0.0 0.0 0.0 0.04118543871656133
14.999999999999998 0.07799812396942438 0.0 0.0 0.0 0.005567546630199387 0.07243057733922499
16.0 0.1309777509077825 0.0 0.0 0.0 0.02730361810125471 0.10367413280652779
17.0 0.18425762922038197 0.0 0.0 0.0 0.04998995343546213 0.13426767578491983
18.0 0.23673925804192253 0.0 0.0 0.0 0.07289236027803418 0.16384689776388833
19.0 0.29422784770575355 0.0 0.0 0.006456071276480237 0.09555227947083413 0.19221949695843918
20.0 0.3584479555081929 0.0 0.0 0.021462971937283776 0.11768687060173107 0.21929811296917806
21.0 0.42117003989241775 0.0 0.0 0.03698389491126899 0.1391267040575393 0.24505944092360943
22.0 0.4819618373793912 0.0 0.0 0.05266674041976464 0.15977617126333757 0.269518925696289
23.0 0.5405736119997258 0.0 0.0 0.06827076628962966 0.17958792550168753 0.2927149202084085
24.0 0.5968774101755855 0.0 0.0 0.08363255753661211 0.19854615823618466 0.31469869440278875
25.0 0.6508264999144379 0.0 0.0 0.09864284905603309 0.2166555357517357 0.3355281151066691
26.0 0.7024280141416619 0.0 0.0 0.11323053952242576 0.23393381716334513 0.355263657455891
27.0 0.751724352039062 0.0 0.0 0.12735154186776862 0.25040689859816856 0.3739659115731247
28.0 0.7987804605520028 0.0 0.0 0.14098093088523295 0.2661054747853067 0.3916940548814632
29.0 0.8436751061662101 0.0 0.0 0.15410736609132067 0.2810627895229342 0.40850495055195524
29.999999999999996 0.88649487951518 0.0 0.0 0.1667291020883917 0.29531312522472725 0.4244526522020611
31.000000000000004 0.9273300862690536 0.0 0.0 0.17885111763655975 0.3088907974046015 0.4395881712278923
32.0 0.9662719483116567 0.0 0.0 0.19048304016532025 0.3218294957931339 0.4539594123532026
33.0 1.0058926469547274 0.0 0.002481927387175615 0.20163764041804408 0.33416186410261134 0.4676112150468963
34.0 1.0445259015125616 0.0 0.005691459085495397 0.21232973865781912 0.34591924421853515 0.4805854595507119
35.0 1.0816117917940533 0.0 0.008983638263023565 0.22257540982795654 0.3571315334699454 0.4929212102331277
36.0 1.1172002162282926 0.0 0.012326811614739525 0.23239140704345193 0.3678271192684658 0.5046548783016352
37.0 1.151343572489358 0.0 0.01569556890773042 0.24179474525501093 0.37803286618212767 0.5158203921444888
38.0 1.1840954362865792 0.0 0.0190695276881794 0.25080240284602623 0.38777413798913 0.5264493677632436
39.0 1.2155095960955271 0.0 0.022432368746584153 0.2594311102948049 0.3970748424799486 0.5365712745741894
40.0 1.2456393542573552 0.0 0.025771066846634324 0.26769720321950286 0.40595749044354323 0.5462135937476749
41.0 1.2745370278164114 0.0 0.029075274382740292 0.2756165230558279 0.414443262859699 0.5554019675181444
42.0 1.3022535992917201 0.0 0.03233682546118533 0.28320435294532215 0.42255208214974166 0.5641603387354709
43.0 1.328838479994591 0.0 0.03554933529473391 0.2904753795878281 0.43030268463608523 0.5725110804759437
44.0 1.3543393577204212 0.0 0.03870787540083286 0.2974436741549433 0.43771269228305487 0.5804751158815901
45.0 1.3788021075192711 0.0 0.04180870936174908 0.304122687098761 0.4447986824460799 0.5880720286126812
