# MO binding energies read from G09 output
# [32.779024, 1.933413, 0.851213, 0.851213, 0.851213]
# MO kinetic energies read from G09 output
# [46.26398, 5.215104, 4.254433, 4.254433, 4.254433]
# Incident electron energy [eV] | Total Sigma | Sigmas [Angstrom^2] (core electrons first)
23.0 0.0 0.0 0.0 0.0 0.0 0.0
24.0 0.01933001671727643 0.0 0.0 0.006443338905758811 0.006443338905758811 0.006443338905758811
25.0 0.04342254680237698 0.0 0.0 0.014474182267458993 0.014474182267458993 0.014474182267458993
26.0 0.06814431590793786 0.0 0.0 0.02271477196931262 0.02271477196931262 0.02271477196931262
27.0 0.09312641323651911 0.0 0.0 0.031042137745506373 0.031042137745506373 0.031042137745506373
28.0 0.11809680601937617 0.0 0.0 0.03936560200645872 0.03936560200645872 0.03936560200645872
29.0 0.14285565633405195 0.0 0.0 0.04761855211135065 0.04761855211135065 0.04761855211135065
29.999999999999996 0.1672572382798336 0.0 0.0 0.05575241275994453 0.05575241275994453 0.05575241275994453
31.000000000000004 0.19119657765784634 0.0 0.0 0.06373219255261545 0.06373219255261545 0.06373219255261545
32.0 0.2145995046663753 0.0 0.0 0.0715331682221251 0.0715331682221251 0.0715331682221251
33.0 0.2374151961557312 0.0 0.0 0.07913839871857707 0.07913839871857707 0.07913839871857707
34.0 0.25961054940793343 0.0 0.0 0.08653684980264448 0.08653684980264448 0.08653684980264448
35.0 0.2811659139864056 0.0 0.0 0.09372197132880188 0.09372197132880188 0.09372197132880188
36.0 0.3020718379297726 0.0 0.0 0.10069061264325753 0.10069061264325753 0.10069061264325753
37.0 0.32232657664836883 0.0 0.0 0.10744219221612294 0.10744219221612294 0.10744219221612294
38.0 0.34193417885348387 0.0 0.0 0.11397805961782796 0.11397805961782796 0.11397805961782796
39.0 0.36090301152425647 0.0 0.0 0.12030100384141883 0.12030100384141883 0.12030100384141883
40.0 0.3792446206510459 0.0 0.0 0.12641487355034864 0.12641487355034864 0.12641487355034864
41.0 0.39697284999370674 0.0 0.0 0.13232428333123558 0.13232428333123558 0.13232428333123558
42.0 0.414103158948239 0.0 0.0 0.13803438631607967 0.13803438631607967 0.13803438631607967
43.0 0.43065209465158627 0.0 0.0 0.14355069821719543 0.14355069821719543 0.14355069821719543
44.0 0.4466368839699779 0.0 0.0 0.14887896132332598 0.14887896132332598 0.14887896132332598
45.0 0.4620751189414595 0.0 0.0 0.15402503964715317 0.15402503964715317 0.15402503964715317
46.0 0.47698451524996455 0.0 0.0 0.15899483841665485 0.15899483841665485 0.15899483841665485
47.0 0.4913827278850731 0.0 0.0 0.1637942426283577 0.1637942426283577 0.1637942426283577
48.0 0.5052872116463072 0.0 0.0 0.16842907054876904 0.16842907054876904 0.16842907054876904
49.0 0.5187151168471981 0.0 0.0 0.17290503894906603 0.17290503894906603 0.17290503894906603
50.0 0.531683212658022 0.0 0.0 0.177227737552674 0.177227737552674 0.177227737552674
51.0 0.5442078321429309 0.0 0.0 0.1814026107143103 0.1814026107143103 0.1814026107143103
52.0 0.5563048343067171 0.0 0.0 0.18543494476890568 0.18543494476890568 0.18543494476890568
53.0 0.5683622409978702 0.0 0.0003726615467612945 0.18932985981703632 0.18932985981703632 0.18932985981703632
54.0 0.5806246326570851 0.0 0.001347717744138462 0.1930923049709822 0.1930923049709822 0.1930923049709822
54.99999999999999 0.5925246680233692 0.0 0.002343499158949787 0.1967270562881398 0.1967270562881398 0.1967270562881398
56.0 0.6040713738939616 0.0 0.0033552235587090825 0.2002387167784175 0.2002387167784175 0.2002387167784175
57.00000000000001 0.6152738790973267 0.0 0.00437872510100487 0.20363171799877394 0.20363171799877394 0.20363171799877394
58.0 0.6261413436357998 0.0 0.005410375090543159 0.20691032284841887 0.20691032284841887 0.20691032284841887
59.0 0.6366829013970471 0.0 0.006447013623106694 0.21007862925798013 0.21007862925798013 0.21007862925798013
59.99999999999999 0.6469076140879333 0.0 0.00748589049949947 0.21314057452947793 0.21314057452947793 0.21314057452947793
61.0 0.6568244344557792 0.0 0.008524614051847195 0.216099940134644 0.216099940134644 0.216099940134644
62.00000000000001 0.666442177198059 0.0 0.009561106739224981 0.21896035681961132 0.21896035681961132 0.21896035681961132
63.0 0.6757694962369118 0.0 0.010593566547725815 0.22172530989639536 0.22172530989639536 0.22172530989639536
64.0 0.6848148672608949 0.0 0.011620433378390428 0.2243981446275015 0.2243981446275015 0.2243981446275015
65.0 0.693586574622502 0.0 0.012640359730233806 0.22698207163075604 0.22698207163075604 0.22698207163075604
66.0 0.7020927018334796 0.0 0.013652185089253435 0.2294801722480754 0.2294801722480754 0.2294801722480754
67.0 0.7103411250268947 0.0 0.014654913521297318 0.23189540383519913 0.23189540383519913 0.23189540383519913
68.0 0.7183395088600347 0.0 0.01564769403987194 0.23423060494005427 0.23423060494005427 0.23423060494005427
69.0 0.7260953044194864 0.0 0.016629803381715675 0.23648850034592359 0.23648850034592359 0.23648850034592359
70.0 0.7336157487622768 0.0 0.01760063087517034 0.2386717059623688 0.2386717059623688 0.2386717059623688
71.0 0.7409078657873891 0.0 0.01855966513062756 0.24078273355225385 0.24078273355225385 0.24078273355225385
72.0 0.7479784681823437 0.0 0.019506482319903633 0.24282399528748003 0.24282399528748003 0.24282399528748003
73.0 0.7548341602316421 0.0 0.02044073584338385 0.2447978081294194 0.2447978081294194 0.2447978081294194
74.0 0.7614813413090561 0.0 0.021362147211058363 0.2467063980326659 0.2467063980326659 0.2467063980326659
75.0 0.767926209905242 0.0 0.022270497986891416 0.2485519039727835 0.2485519039727835 0.2485519039727835
