# MO binding energies read from G09 output
# [19.031664, 1.192481, 0.686526, 0.542745, 0.469827]
# MO kinetic energies read from G09 output
# [29.006738, 2.599754, 1.843595, 2.229631, 2.269655]
# Incident electron energy [eV] | Total Sigma | Sigmas [Angstrom^2] (core electrons first)
12.0 0.0 0.0 0.0 0.0 0.0 0.0
13.0 0.009961134569108788 0.0 0.0 0.0 0.0 0.009961134569108788
14.0 0.05870207182181103 0.0 0.0 0.0 0.0 0.05870207182181103
14.999999999999998 0.11701736502774385 0.0 0.0 0.0 0.007747216432610449 0.1092701485951334
16.0 0.20254116235748368 0.0 0.0 0.0 0.04287051853449123 0.15967064382299245
17.0 0.28805968553802636 0.0 0.0 0.0 0.07929253884446516 0.2087671466935612
18.0 0.37173773169088903 0.0 0.0 0.0 0.11580438798163706 0.25593334370925197
19.0 0.4593949792666208 0.0 0.0 0.006880903007849538 0.15166409235930822 0.30084998389946305
20.0 0.5591191022363963 0.0 0.0 0.02930992931229535 0.18642539472852165 0.34338377819557925
21.0 0.6557665902521801 0.0 0.0 0.05242137831922941 0.21983138856642137 0.3835138233665293
22.0 0.7486965154899075 0.0 0.0 0.07566304826749136 0.2517472181186281 0.42128624910378804
23.0 0.8375654562452775 0.0 0.0 0.09866265040284247 0.28211683764413414 0.4567859681983008
24.0 0.9222259584152668 0.0 0.0 0.12117211234927908 0.3109348751060152 0.4901189709599724
25.0 1.002659125512483 0.0 0.0 0.14302977141726733 0.3382281395616188 0.521401214533597
26.0 1.0789294565837841 0.0 0.0 0.16413439406813032 0.36404337705524825 0.5507516854604054
27.0 1.151154383420307 0.0 0.0 0.18442712947524773 0.3884391271545075 0.5782881267905519
28.0 1.2194836342465598 0.0 0.0 0.2038788573605572 0.41148030011658643 0.6041244767694162
29.0 1.2840852331928625 0.0 0.0 0.22248124755873608 0.4332345756360969 0.6283694099980296
29.999999999999996 1.3451360193520294 0.0 0.0 0.24024040126353055 0.4537700301824951 0.6511255879060037
31.000000000000004 1.4028152656576873 0.0 0.0 0.25717230540595365 0.47315359749785735 0.6724893627538765
32.0 1.4573004352543164 0.0 0.0 0.27329957144006645 0.49145009602226497 0.692550767791985
33.0 1.5113075004253813 0.0 0.002543083284389144 0.28864909096557484 0.5087216425034278 0.7113936836719896
34.0 1.5646599956710787 0.0 0.007286208375809087 0.30325035018960955 0.5250273282214205 0.7290961088842396
35.0 1.6154295460036532 0.0 0.01214176571951904 0.3171342205481592 0.5404230728654975 0.7457304868704775
36.0 1.663717951457004 0.0 0.017060199983802815 0.33033209510368233 0.5549615973928735 0.7613640589766453
37.0 1.7096290081877286 0.0 0.02200203254158409 0.34287527698636133 0.5686924752429924 0.7760592234167907
38.0 1.753266545983791 0.0 0.026935872415085573 0.35479455205503624 0.5816622337457023 0.7898738877679669
39.0 1.794733030926797 0.0 0.0318368408689592 0.366119896415125 0.5939144862215933 0.8028618074211197
40.0 1.8341285873167974 0.0 0.03668531764056122 0.3768802826825361 0.6054900813169998 0.8150729056767003
41.0 1.8715503308342687 0.0 0.04146593869426815 0.38710355845943456 0.6164272603499271 0.8265535733306388
42.0 1.9070919326019324 0.0 0.04616679172914297 0.3968163774519414 0.626761816415808 0.8373469470050402
43.0 1.9408433541764396 0.0 0.050778767951599406 0.40604416875301663 0.6365272510913947 0.8474931663804288
44.0 1.9728907085649006 0.0 0.055295037917392056 0.4148111335578406 0.6457549260429691 0.8570296110466987
45.0 2.0033162135603693 0.0 0.05971062632254123 0.423140261344114 0.6544742078738575 0.8659911180198566
46.0 2.0321982120537103 0.0 0.06402206604218888 0.43105335960024155 0.6627126052639043 0.8744101811473755
47.0 2.059611240250658 0.0 0.06822711589110939 0.4385710927104914 0.6704958979502907 0.8823171336987661
48.0 2.0856261294426317 0.0 0.07232452981298383 0.4457130267455032 0.6778482574387433 0.8897403154454012
49.0 2.110310130543237 0.0 0.07631386772277288 0.4524976777591537 0.6847923595622 0.8967062254991098
50.0 2.1337270532998747 0.0 0.08019534019585182 0.45894256183205845 0.6913494891527976 0.9032396621191666
51.0 2.155937414136361 0.0 0.08396968074546914 0.46506424558190906 0.69753963718578 0.9093638506232028
52.0 2.176998588137498 0.0 0.08763804065218178 0.47087839622126526 0.7033815908072549 0.9151005604567962
53.0 2.1969649618694644 0.0 0.09120190227789134 0.47639983051402757 0.70889301668356 0.9204702123939854
